"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","01219","北海道 紋別市","","21,215","","11,214","","7,479","","196,373","","0","","15,041","","71,381","","10,832","","606","","8,385","","60,057","","6,319","","1,873","","2,549","","2,864","","5,876","","573","","6,016","","830","","3,170","","0.32","","10,161,545","","5",""
"2020100000","2020年度","01220","北海道 士別市","","17,858","","8,184","","13,730","","92,391","","433","","18,692","","X","","X","","316","","4,369","","37,211","","2,285","","1,427","","1,600","","1,919","","2,855","","314","","3,117","","762","","2,026","","0.26","","10,248,231","","1",""
"2020100000","2020年度","01221","北海道 名寄市","","27,282","","12,810","","3,473","","164,798","","X","","10,912","","X","","6,565","","727","","9,704","","66,415","","18,927","","2,500","","1,310","","3,343","","5,631","","1,053","","7,247","","2,827","","4,859","","0.27","","12,891,578","","4",""
"2020100000","2020年度","01222","北海道 三笠市","","8,040","","3,816","","1,624","","48,196","","X","","7,041","","11,312","","X","","-","","1,914","","18,500","","170","","861","","X","","748","","515","","X","","2,355","","1,244","","711","","0.20","","5,880,434","","2",""
"2020100000","2020年度","01223","北海道 根室市","","24,636","","11,153","","7,329","","181,883","","0","","12,223","","55,529","","2,442","","662","","4,756","","66,916","","14,200","","1,561","","1,135","","2,306","","4,874","","437","","5,177","","3,232","","6,434","","0.35","","9,549,246","","3",""
"2020100000","2020年度","01224","北海道 千歳市","","97,950","","43,809","","12,983","","701,207","","X","","52,230","","X","","3,231","","1,116","","57,290","","188,990","","23,981","","23,636","","4,345","","18,159","","24,446","","7,063","","24,376","","2,714","","30,594","","0.78","","19,621,404","","7",""
"2020100000","2020年度","01225","北海道 滝川市","","39,490","","18,688","","3,012","","232,517","","X","","36,772","","10,498","","X","","626","","9,612","","104,419","","17,433","","4,964","","2,362","","4,567","","9,183","","2,013","","17,808","","2,998","","4,958","","0.41","","11,334,768","","5",""
"2020100000","2020年度","01226","北海道 砂川市","","16,486","","7,599","","601","","199,962","","X","","15,377","","23,362","","71,980","","X","","5,819","","58,619","","1,250","","1,611","","486","","1,286","","6,564","","235","","5,107","","1,109","","7,103","","0.32","","7,231,682","","2",""
"2020100000","2020年度","01227","北海道 歌志内市","","2,989","","1,424","","0","","11,151","","X","","1,612","","491","","-","","X","","676","","4,807","","122","","X","","0","","104","","273","","X","","1,176","","82","","995","","0.11","","2,774,494","","1",""
"2020100000","2020年度","01228","北海道 深川市","","20,039","","9,198","","5,522","","99,265","","X","","13,011","","X","","2,169","","94","","2,700","","41,773","","6,100","","1,719","","3,164","","2,006","","4,057","","1,938","","9,619","","1,466","","3,688","","0.27","","9,086,571","","5",""
"2020100000","2020年度","01229","北海道 富良野市","","21,131","","9,538","","5,658","","127,046","","X","","20,030","","X","","3,033","","112","","6,536","","48,453","","6,309","","2,126","","670","","5,440","","2,245","","1,243","","13,032","","7,152","","2,983","","0.37","","7,750,043","","3",""
"2020100000","2020年度","01230","北海道 登別市","","46,391","","20,928","","3,831","","169,695","","0","","24,415","","X","","X","","183","","6,667","","69,130","","2,106","","3,971","","809","","12,750","","3,809","","2,880","","17,199","","1,221","","6,544","","0.47","","10,929,306","","6",""
"2020100000","2020年度","01231","北海道 恵庭市","","70,331","","30,276","","3,003","","414,296","","X","","38,911","","X","","85","","168","","26,056","","112,949","","10,072","","6,212","","6,319","","5,916","","11,771","","8,693","","30,462","","1,902","","7,869","","0.61","","13,884,333","","7",""
"2020100000","2020年度","01233","北海道 伊達市","","32,826","","14,844","","7,444","","200,453","","0","","18,574","","22,286","","48,017","","182","","3,241","","48,981","","9,831","","3,490","","2,289","","6,475","","7,581","","306","","23,385","","2,668","","3,147","","0.39","","10,724,035","","3",""
"2020100000","2020年度","01234","北海道 北広島市","","58,171","","24,640","","3,825","","515,890","","X","","28,868","","X","","3","","197","","76,452","","236,427","","6,935","","14,821","","1,825","","3,195","","13,488","","4,934","","20,252","","1,267","","15,445","","0.65","","12,522,539","","5",""
"2020100000","2020年度","01235","北海道 石狩市","","56,869","","23,102","","3,807","","557,297","","X","","38,139","","X","","258","","2,177","","84,085","","188,609","","2,865","","9,642","","31,544","","2,961","","10,140","","3,454","","18,915","","2,906","","14,303","","0.53","","16,302,323","","5",""
"2020100000","2020年度","01236","北海道 北斗市","","44,302","","18,337","","3,696","","306,064","","3,630","","32,653","","72,372","","X","","X","","21,496","","119,956","","5,661","","5,473","","3,680","","3,747","","6,092","","1,097","","16,901","","3,613","","9,568","","0.48","","11,456,463","","0",""
"2020100000","2020年度","01303","北海道 当別町","","15,916","","7,281","","4,157","","95,054","","0","","11,827","","X","","X","","20","","2,170","","29,726","","1,695","","1,161","","527","","1,154","","2,223","","7,919","","4,840","","331","","1,155","","0.38","","5,637,778","","0",""
"2020100000","2020年度","01304","北海道 新篠津村","","3,044","","1,051","","1,189","","10,160","","0","","2,444","","164","","-","","-","","493","","3,588","","X","","X","","0","","137","","125","","-","","1,609","","X","","73","","0.21","","1,996,809","","0",""
"2020100000","2020年度","01331","北海道 松前町","","6,260","","3,196","","510","","28,338","","0","","3,053","","X","","-","","-","","226","","6,987","","763","","7,377","","X","","242","","930","","144","","1,346","","231","","447","","0.19","","3,701,027","","1",""
"2020100000","2020年度","01332","北海道 福島町","","3,794","","1,861","","679","","14,202","","0","","3,008","","4,040","","X","","-","","25","","3,319","","X","","39","","131","","83","","285","","32","","619","","112","","501","","0.23","","2,525,085","","0",""
"2020100000","2020年度","01333","北海道 知内町","","4,167","","1,868","","1,359","","81,448","","0","","2,485","","5,017","","64,752","","X","","100","","4,366","","357","","358","","X","","336","","231","","X","","474","","1,901","","1,054","","0.28","","2,647,805","","0",""
"2020100000","2020年度","01334","北海道 木古内町","","3,832","","1,871","","331","","15,357","","0","","4,926","","1,813","","-","","X","","792","","5,582","","314","","204","","282","","397","","146","","X","","426","","182","","226","","0.21","","2,875,150","","1",""
"2020100000","2020年度","01337","北海道 七飯町","","27,686","","11,568","","5,981","","93,699","","X","","15,582","","X","","-","","X","","7,879","","24,738","","389","","2,971","","1,172","","1,565","","1,220","","216","","11,559","","2,466","","2,770","","0.48","","6,504,390","","2",""
"2020100000","2020年度","01343","北海道 鹿部町","","3,760","","1,619","","1,160","","20,282","","0","","1,584","","9,440","","X","","-","","333","","5,504","","X","","0","","0","","228","","194","","X","","2,544","","X","","217","","0.26","","1,822,931","","0",""
"2020100000","2020年度","01345","北海道 森町","","14,338","","6,330","","4,114","","115,416","","292","","9,170","","X","","1,953","","X","","4,760","","38,020","","5,957","","361","","656","","940","","692","","132","","4,217","","2,934","","2,150","","0.31","","5,949,289","","2",""
"2020100000","2020年度","01346","北海道 八雲町","","15,826","","7,519","","11,095","","98,023","","0","","14,875","","X","","4,579","","X","","4,024","","29,675","","4,129","","2,483","","737","","1,659","","2,855","","228","","2,635","","3,047","","1,835","","0.29","","7,877,514","","2",""
"2020100000","2020年度","01347","北海道 長万部町","","5,109","","2,717","","2,028","","29,041","","0","","2,870","","X","","X","","-","","775","","5,281","","349","","699","","45","","533","","426","","281","","767","","2,746","","2,068","","0.24","","3,052,042","","1",""
"2020100000","2020年度","01361","北海道 江差町","","7,428","","3,542","","726","","40,341","","0","","5,761","","X","","2,112","","X","","1,300","","14,000","","6,592","","375","","488","","824","","1,306","","133","","3,636","","996","","1,465","","0.28","","3,325,748","","2",""
