"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","15213","新潟県 燕市","","77,201","","28,522","","1,643","","869,865","","X","","32,271","","412,056","","X","","737","","23,446","","296,333","","25,060","","6,823","","5,250","","8,058","","14,743","","2,259","","24,186","","3,500","","12,056","","0.63","","18,670,007","","2",""
"2020100000","2020年度","15216","新潟県 糸魚川市","","40,765","","16,442","","609","","349,010","","3,118","","56,623","","152,370","","13,244","","87","","9,136","","64,222","","7,768","","3,805","","4,431","","5,003","","5,598","","733","","15,016","","2,098","","5,759","","0.47","","15,671,949","","2",""
"2020100000","2020年度","15217","新潟県 妙高市","","30,383","","11,306","","1,695","","227,231","","X","","20,564","","119,188","","X","","154","","4,502","","39,074","","9,606","","1,236","","2,728","","8,640","","4,072","","853","","11,143","","1,434","","2,361","","0.43","","12,493,938","","2",""
"2020100000","2020年度","15218","新潟県 五泉市","","47,625","","17,021","","1,444","","265,757","","2,153","","21,060","","121,236","","X","","X","","5,123","","72,583","","10,117","","1,193","","1,067","","3,755","","6,615","","1,123","","15,098","","880","","3,580","","0.43","","13,244,435","","2",""
"2020100000","2020年度","15222","新潟県 上越市","","188,047","","72,850","","11,090","","1,820,724","","1,045","","199,804","","552,634","","81,952","","9,686","","96,884","","545,763","","71,961","","34,272","","20,022","","29,317","","36,036","","10,843","","82,809","","10,420","","37,275","","0.62","","53,764,868","","10",""
"2020100000","2020年度","15223","新潟県 阿賀野市","","40,696","","13,484","","8,443","","272,740","","1,544","","36,250","","140,239","","X","","X","","8,636","","43,896","","7,124","","1,173","","412","","3,894","","4,377","","2,488","","14,865","","3,849","","3,965","","0.42","","12,178,939","","2",""
"2020100000","2020年度","15224","新潟県 佐渡市","","51,492","","21,261","","3,635","","271,368","","487","","41,107","","15,510","","49,828","","885","","6,558","","86,265","","14,870","","2,848","","3,255","","6,201","","6,815","","892","","25,118","","4,458","","6,270","","0.23","","26,049,575","","5",""
"2020100000","2020年度","15225","新潟県 魚沼市","","34,483","","12,703","","3,495","","305,277","","376","","29,399","","59,414","","103,331","","103","","4,552","","66,489","","7,136","","1,030","","5,202","","5,106","","5,362","","339","","12,540","","1,315","","3,582","","0.29","","15,838,685","","2",""
"2020100000","2020年度","15226","新潟県 南魚沼市","","54,851","","19,576","","4,915","","360,931","","897","","50,966","","88,944","","1,015","","1,274","","9,915","","113,149","","15,702","","5,298","","5,152","","11,924","","9,254","","4,593","","25,753","","3,864","","13,231","","0.41","","18,942,724","","5",""
"2020100000","2020年度","15227","新潟県 胎内市","","28,509","","10,305","","3,685","","223,834","","2,519","","22,564","","125,768","","X","","X","","5,503","","36,992","","1,335","","1,243","","573","","3,606","","4,179","","2,783","","10,315","","1,278","","4,146","","0.48","","8,776,582","","2",""
"2020100000","2020年度","15307","新潟県 聖籠町","","14,259","","4,804","","630","","487,976","","0","","21,484","","176,825","","173,204","","-","","35,034","","65,578","","681","","1,205","","1,070","","1,172","","1,565","","807","","6,637","","237","","2,478","","1.09","","4,477,576","","2",""
"2020100000","2020年度","15342","新潟県 弥彦村","","7,705","","2,605","","923","","54,509","","0","","3,693","","33,890","","X","","X","","254","","12,177","","156","","39","","183","","1,405","","717","","29","","1,302","","X","","355","","0.41","","2,404,649","","0",""
"2020100000","2020年度","15361","新潟県 田上町","","11,227","","3,990","","83","","43,553","","0","","4,297","","16,527","","-","","X","","328","","15,443","","242","","21","","350","","1,104","","940","","362","","2,807","","X","","822","","0.40","","3,051,923","","0",""
"2020100000","2020年度","15385","新潟県 阿賀町","","9,965","","4,061","","2,304","","30,191","","X","","9,403","","4,602","","X","","-","","711","","8,664","","527","","261","","96","","1,030","","908","","13","","2,501","","318","","641","","0.20","","7,955,472","","1",""
"2020100000","2020年度","15405","新潟県 出雲崎町","","4,113","","1,535","","80","","14,401","","0","","2,435","","5,632","","X","","-","","X","","2,040","","269","","17","","11","","140","","470","","90","","564","","113","","2,525","","0.25","","2,120,005","","0",""
"2020100000","2020年度","15461","新潟県 湯沢町","","7,767","","3,583","","X","","X","","X","","10,711","","2,675","","X","","80","","22,141","","13,955","","X","","2,712","","4,769","","13,134","","816","","50","","1,993","","403","","2,556","","0.98","","4,067,976","","1",""
"2020100000","2020年度","15482","新潟県 津南町","","8,989","","3,119","","2,232","","47,371","","X","","5,704","","11,511","","X","","288","","522","","11,436","","2,444","","566","","632","","1,290","","739","","70","","2,663","","572","","801","","0.27","","4,640,777","","1",""
"2020100000","2020年度","15504","新潟県 刈羽村","","4,380","","1,595","","192","","22,745","","0","","6,230","","4,176","","-","","X","","473","","5,853","","X","","233","","1,506","","694","","441","","1,570","","594","","841","","X","","1.36","","2,794,407","","0",""
"2020100000","2020年度","15581","新潟県 関川村","","5,144","","1,756","","3,650","","17,004","","0","","3,025","","7,009","","X","","-","","169","","3,170","","X","","6","","80","","789","","X","","38","","X","","260","","75","","0.24","","3,172,824","","0",""
"2020100000","2020年度","15586","新潟県 粟島浦村","","353","","170","","X","","X","","0","","14","","0","","-","","-","","X","","47","","-","","0","","0","","110","","X","","-","","X","","X","","X","","0.11","","589,663","","0",""
"2020100000","2020年度","16201","富山県 富山市","","413,938","","171,917","","10,694","","5,996,239","","1,823","","449,776","","1,378,558","","158,107","","153,384","","145,214","","1,797,519","","430,952","","127,511","","111,489","","70,504","","97,206","","50,104","","804,612","","16,196","","203,284","","0.83","","92,175,915","","46",""
"2020100000","2020年度","16202","富山県 高岡市","","166,393","","65,586","","5,789","","1,539,787","","582","","126,621","","413,429","","3,811","","17,040","","35,740","","584,768","","93,803","","29,646","","19,544","","27,474","","38,350","","15,738","","91,026","","5,393","","36,823","","0.76","","36,327,956","","16",""
"2020100000","2020年度","16204","富山県 魚津市","","40,535","","15,800","","1,873","","371,258","","X","","31,207","","99,329","","X","","1,779","","6,145","","114,231","","16,562","","4,033","","5,556","","8,300","","8,758","","2,579","","22,463","","2,452","","8,504","","0.69","","10,015,845","","6",""
"2020100000","2020年度","16205","富山県 氷見市","","43,950","","15,759","","2,259","","214,566","","0","","18,408","","103,198","","X","","X","","3,155","","45,853","","6,894","","1,867","","1,020","","4,920","","5,647","","739","","17,934","","989","","2,753","","0.48","","11,926,723","","4",""
"2020100000","2020年度","16206","富山県 滑川市","","32,349","","12,115","","1,345","","446,555","","0","","10,789","","356,887","","686","","94","","4,079","","42,634","","7,609","","1,299","","1,273","","2,377","","4,810","","1,168","","10,303","","654","","1,893","","0.76","","7,468,681","","2",""
"2020100000","2020年度","16207","富山県 黒部市","","39,638","","15,238","","4,944","","403,492","","X","","29,090","","198,308","","X","","1,235","","13,762","","56,136","","7,197","","2,618","","1,396","","8,220","","6,155","","505","","19,136","","6,186","","4,146","","0.67","","12,584,545","","4",""
"2020100000","2020年度","16208","富山県 砺波市","","48,154","","17,147","","5,385","","481,206","","X","","36,953","","157,860","","X","","3,357","","8,159","","120,953","","16,678","","3,447","","3,022","","8,677","","8,202","","1,864","","12,428","","6,030","","10,894","","0.59","","13,100,825","","6",""
"2020100000","2020年度","16209","富山県 小矢部市","","28,983","","9,726","","5,071","","258,299","","793","","20,993","","96,019","","X","","160","","16,455","","84,338","","6,452","","3,000","","1,489","","2,454","","4,670","","947","","13,801","","X","","2,409","","0.60","","8,436,386","","6",""
"2020100000","2020年度","16210","富山県 南砺市","","47,937","","16,483","","5,633","","334,094","","X","","44,452","","181,441","","X","","3,792","","8,645","","51,296","","7,013","","4,350","","2,084","","4,393","","3,819","","824","","14,313","","1,750","","5,877","","0.35","","22,035,106","","4",""
"2020100000","2020年度","16211","富山県 射水市","","90,742","","33,812","","4,004","","1,140,472","","669","","62,957","","493,777","","94,164","","4,561","","69,914","","309,838","","15,681","","6,251","","4,815","","7,600","","16,496","","8,579","","32,448","","2,234","","10,488","","0.66","","24,025,863","","6",""
"2020100000","2020年度","16321","富山県 舟橋村","","3,132","","1,051","","91","","8,299","","0","","866","","4,225","","-","","-","","X","","1,379","","-","","X","","197","","35","","249","","118","","726","","X","","8","","0.37","","1,132,754","","0",""
"2020100000","2020年度","16322","富山県 上市町","","19,351","","7,256","","537","","127,946","","182","","13,435","","71,630","","-","","422","","6,269","","17,784","","5,515","","2,294","","699","","1,094","","2,434","","325","","4,500","","367","","995","","0.47","","6,239,835","","1",""
"2020100000","2020年度","16323","富山県 立山町","","24,792","","9,047","","1,320","","151,199","","X","","16,347","","88,798","","X","","163","","X","","26,678","","792","","1,944","","995","","1,669","","1,139","","1,014","","5,559","","269","","1,461","","0.48","","7,271,353","","1",""
"2020100000","2020年度","16342","富山県 入善町","","23,839","","8,699","","5,750","","167,441","","X","","13,492","","101,343","","X","","-","","3,691","","26,742","","3,287","","1,466","","291","","1,309","","1,793","","297","","7,263","","3,074","","2,842","","0.55","","6,595,245","","2",""
"2020100000","2020年度","16343","富山県 朝日町","","11,081","","4,353","","1,057","","37,532","","0","","5,599","","14,022","","-","","X","","722","","9,164","","515","","X","","262","","880","","869","","80","","3,098","","637","","1,382","","0.37","","5,143,837","","2",""
"2020100000","2020年度","17201","石川県 金沢市","","463,254","","207,520","","6,108","","6,899,277","","1,322","","667,006","","543,295","","2,229","","349,599","","237,843","","2,716,866","","650,360","","215,319","","93,549","","102,871","","124,592","","81,703","","870,031","","8,646","","234,047","","0.89","","92,971,643","","44",""
"2020100000","2020年度","17202","石川県 七尾市","","50,300","","20,328","","3,442","","422,495","","X","","37,811","","73,564","","X","","1,125","","11,811","","122,216","","30,009","","3,235","","5,211","","16,041","","14,383","","3,647","","30,258","","4,085","","10,431","","0.44","","18,069,431","","6",""
"2020100000","2020年度","17203","石川県 小松市","","106,216","","41,312","","2,411","","1,069,379","","X","","65,644","","520,067","","X","","7,741","","36,168","","260,029","","42,269","","17,240","","8,317","","18,090","","19,734","","9,643","","40,677","","7,613","","16,057","","0.71","","22,908,054","","10",""
"2020100000","2020年度","17204","石川県 輪島市","","24,608","","10,208","","4,297","","95,026","","0","","19,868","","16,830","","X","","X","","1,473","","24,486","","7,300","","1,569","","453","","3,738","","2,070","","3,058","","6,526","","3,181","","3,175","","0.23","","12,393,054","","1",""
"2020100000","2020年度","17205","石川県 珠洲市","","12,929","","5,517","","740","","53,251","","0","","10,482","","11,301","","89","","210","","1,390","","13,579","","3,471","","598","","1,206","","1,741","","1,285","","33","","3,409","","3,131","","1,327","","0.23","","7,417,060","","1",""
"2020100000","2020年度","17206","石川県 加賀市","","63,220","","25,261","","1,026","","451,203","","X","","27,166","","218,715","","X","","2,782","","11,694","","92,527","","13,244","","4,086","","2,411","","26,218","","16,788","","1,088","","22,866","","3,929","","7,167","","0.58","","16,302,362","","5",""
"2020100000","2020年度","17207","石川県 羽咋市","","20,407","","8,046","","1,297","","118,133","","0","","12,273","","39,992","","64","","193","","3,573","","29,312","","10,008","","1,477","","685","","2,705","","5,292","","714","","5,344","","4,444","","2,056","","0.43","","6,892,434","","1",""
"2020100000","2020年度","17209","石川県 かほく市","","34,889","","12,528","","510","","251,919","","0","","17,199","","134,122","","X","","X","","4,704","","63,596","","7,735","","1,507","","799","","3,462","","3,964","","2,437","","8,132","","309","","3,245","","0.43","","10,161,067","","3",""
"2020100000","2020年度","17210","石川県 白山市","","110,408","","40,958","","4,454","","1,222,320","","337","","67,244","","585,254","","37,994","","17,275","","65,482","","316,651","","18,848","","14,135","","13,708","","11,543","","9,294","","7,305","","22,064","","5,660","","29,527","","0.69","","28,192,596","","4",""
"2020100000","2020年度","17211","石川県 能美市","","48,523","","18,192","","1,272","","498,863","","0","","23,645","","317,451","","X","","X","","13,269","","90,474","","4,921","","3,007","","5,071","","3,320","","12,845","","737","","12,874","","3,010","","5,706","","0.68","","13,250,833","","3",""
"2020100000","2020年度","17212","石川県 野々市市","","57,238","","26,200","","50","","426,029","","0","","40,159","","27,135","","X","","2,738","","11,936","","224,595","","12,683","","13,761","","7,090","","10,737","","30,683","","14,762","","20,036","","X","","8,765","","0.85","","9,846,343","","3",""
"2020100000","2020年度","17324","石川県 川北町","","6,135","","1,915","","284","","68,701","","619","","3,951","","36,307","","X","","-","","3,645","","21,091","","192","","20","","529","","271","","128","","40","","869","","X","","867","","0.63","","2,266,258","","0",""
"2020100000","2020年度","17361","石川県 津幡町","","36,957","","13,399","","1,321","","172,529","","0","","15,917","","49,041","","X","","X","","1,557","","79,022","","4,271","","2,864","","550","","2,131","","4,608","","2,424","","7,660","","318","","1,857","","0.56","","8,013,144","","2",""
"2020100000","2020年度","17365","石川県 内灘町","","26,574","","10,802","","1,093","","63,878","","0","","8,076","","3,398","","X","","309","","1,549","","15,643","","1,112","","507","","556","","1,455","","808","","594","","28,714","","X","","971","","0.53","","5,408,747","","2",""
"2020100000","2020年度","17384","石川県 志賀町","","18,630","","7,447","","2,645","","308,085","","X","","18,273","","68,846","","X","","47","","1,314","","20,539","","2,150","","1,292","","3,952","","1,994","","1,409","","298","","3,993","","3,380","","3,917","","0.59","","8,078,149","","2",""
"2020100000","2020年度","17386","石川県 宝達志水町","","12,121","","4,428","","1,945","","133,808","","X","","5,117","","101,249","","-","","X","","2,310","","18,268","","267","","275","","36","","793","","1,343","","5","","3,076","","541","","423","","0.38","","5,331,192","","1",""
"2020100000","2020年度","17407","石川県 中能登町","","16,540","","6,103","","741","","69,696","","X","","5,066","","36,131","","X","","X","","2,484","","16,125","","710","","412","","457","","925","","2,180","","191","","2,885","","1,373","","618","","0.30","","6,557,045","","0",""
"2020100000","2020年度","17461","石川県 穴水町","","7,890","","3,288","","1,543","","38,506","","0","","3,577","","6,516","","-","","266","","698","","14,092","","403","","1,159","","571","","1,080","","597","","540","","4,002","","4,479","","528","","0.26","","4,150,392","","1",""
"2020100000","2020年度","17463","石川県 能登町","","15,687","","6,458","","4,190","","53,822","","X","","10,839","","6,889","","-","","X","","1,214","","16,392","","2,860","","723","","466","","2,018","","2,629","","256","","5,142","","2,423","","1,484","","0.21","","9,152,092","","2",""
"2020100000","2020年度","18201","福井県 福井市","","262,328","","104,470","","5,320","","3,741,098","","1,907","","315,961","","447,464","","3,112","","108,975","","111,683","","1,331,122","","331,720","","79,839","","50,525","","49,158","","94,920","","33,814","","598,878","","10,670","","171,352","","0.83","","57,304,586","","27",""
"2020100000","2020年度","18202","福井県 敦賀市","","64,264","","27,849","","223","","818,198","","0","","117,868","","141,976","","105,016","","5,627","","63,049","","208,077","","25,049","","11,149","","44,301","","13,482","","17,903","","4,242","","23,290","","9,404","","27,762","","0.92","","14,954,588","","5",""
"2020100000","2020年度","18204","福井県 小浜市","","28,991","","12,082","","2,293","","189,080","","0","","22,335","","39,871","","X","","X","","3,406","","73,011","","13,456","","2,561","","6,803","","4,810","","6,205","","1,552","","7,377","","2,190","","4,394","","0.43","","9,489,196","","2",""
"2020100000","2020年度","18205","福井県 大野市","","31,286","","10,868","","2,839","","206,303","","0","","27,603","","56,626","","37,102","","263","","1,809","","42,803","","10,179","","1,906","","3,767","","2,485","","6,252","","1,362","","9,939","","1,578","","2,628","","0.42","","10,753,056","","4",""
"2020100000","2020年度","18206","福井県 勝山市","","22,150","","7,524","","467","","122,358","","0","","13,063","","58,785","","X","","X","","1,163","","25,722","","3,140","","587","","745","","1,850","","2,306","","920","","11,612","","713","","1,347","","0.44","","7,303,532","","2",""
"2020100000","2020年度","18207","福井県 鯖江市","","68,302","","23,915","","800","","494,320","","0","","37,208","","199,234","","X","","X","","7,877","","143,738","","32,708","","2,749","","4,590","","9,297","","13,099","","2,172","","25,582","","2,960","","7,978","","0.69","","14,649,818","","7",""
"2020100000","2020年度","18208","福井県 あわら市","","27,524","","9,933","","2,859","","257,098","","X","","11,227","","165,861","","X","","X","","4,882","","39,072","","2,092","","425","","820","","10,036","","5,354","","1,435","","10,482","","1,380","","3,504","","0.60","","8,079,133","","3",""
"2020100000","2020年度","18209","福井県 越前市","","80,611","","29,634","","2,331","","1,070,851","","X","","87,450","","658,346","","X","","3,082","","21,000","","178,047","","24,197","","13,107","","5,663","","9,937","","14,491","","5,449","","28,559","","4,646","","15,550","","0.75","","18,754,978","","7",""
"2020100000","2020年度","18210","福井県 坂井市","","88,481","","31,067","","5,282","","678,723","","X","","54,753","","303,950","","X","","15,886","","24,661","","154,094","","19,741","","3,889","","6,713","","10,109","","17,671","","1,934","","22,764","","7,038","","9,623","","0.65","","20,861,176","","4",""
"2020100000","2020年度","18322","福井県 永平寺町","","18,965","","7,285","","340","","95,769","","X","","11,232","","20,942","","-","","X","","2,607","","17,170","","925","","1,478","","869","","1,222","","488","","9,788","","26,906","","525","","1,331","","0.39","","6,245,858","","1",""
"2020100000","2020年度","18382","福井県 池田町","","2,423","","948","","759","","5,848","","0","","1,555","","1,885","","-","","X","","23","","1,200","","X","","0","","X","","221","","184","","X","","492","","223","","44","","0.14","","2,208,527","","0",""
"2020100000","2020年度","18404","福井県 南越前町","","10,002","","3,266","","989","","31,496","","X","","4,556","","11,390","","-","","-","","325","","6,116","","X","","13","","129","","1,030","","363","","137","","2,179","","838","","3,111","","0.29","","5,243,496","","0",""
"2020100000","2020年度","18423","福井県 越前町","","20,118","","6,581","","1,012","","106,354","","0","","13,665","","54,100","","-","","X","","1,004","","20,017","","986","","275","","X","","4,158","","703","","281","","6,538","","2,136","","2,142","","0.34","","7,774,280","","2",""
"2020100000","2020年度","18442","福井県 美浜町","","9,179","","3,745","","365","","280,247","","0","","37,039","","5,782","","206,871","","650","","626","","11,267","","486","","389","","3,731","","2,652","","683","","251","","2,113","","501","","7,206","","0.74","","3,911,593","","0",""
"2020100000","2020年度","18481","福井県 高浜町","","10,326","","4,500","","886","","383,831","","0","","53,306","","7,373","","X","","-","","1,757","","12,573","","X","","805","","648","","2,207","","2,900","","45","","3,141","","886","","7,575","","1.03","","4,139,674","","1",""
"2020100000","2020年度","18483","福井県 おおい町","","7,910","","3,165","","575","","302,303","","0","","44,688","","3,927","","X","","-","","1,098","","3,855","","X","","1,471","","2,213","","1,036","","469","","213","","1,648","","545","","6,335","","1.00","","4,661,286","","0",""
"2020100000","2020年度","18501","福井県 若狭町","","14,003","","4,830","","881","","117,684","","0","","11,435","","68,687","","X","","27","","1,199","","21,018","","4,299","","488","","203","","2,724","","996","","X","","4,270","","696","","1,600","","0.33","","6,295,833","","2",""
"2020100000","2020年度","19201","山梨県 甲府市","","189,591","","87,019","","1,739","","2,737,111","","X","","189,498","","277,811","","203,561","","67,225","","X","","741,709","","362,598","","48,683","","39,065","","34,339","","36,552","","38,369","","561,653","","3,394","","86,467","","0.76","","38,646,936","","14",""
"2020100000","2020年度","19202","山梨県 富士吉田市","","46,530","","18,337","","453","","382,969","","0","","47,386","","113,293","","2,539","","4,311","","3,812","","109,321","","28,176","","6,154","","4,012","","15,667","","17,906","","4,903","","12,815","","2,443","","10,231","","0.71","","9,738,072","","1",""
"2020100000","2020年度","19204","山梨県 都留市","","31,016","","14,044","","713","","180,987","","X","","16,072","","61,098","","262","","56","","X","","50,840","","6,037","","2,338","","2,287","","3,235","","7,582","","4,418","","7,059","","647","","4,128","","0.49","","8,435,876","","3",""
"2020100000","2020年度","19205","山梨県 山梨市","","33,435","","13,001","","2,022","","145,348","","319","","12,958","","47,046","","391","","708","","2,907","","38,575","","7,956","","1,216","","1,081","","4,035","","4,914","","1,077","","16,976","","2,948","","2,239","","0.42","","10,275,706","","4",""
"2020100000","2020年度","19206","山梨県 大月市","","22,512","","9,254","","4,966","","142,084","","0","","16,820","","42,945","","17,974","","574","","18,660","","16,459","","6,693","","1,638","","2,863","","1,564","","2,405","","612","","7,943","","683","","4,250","","0.66","","7,305,490","","1",""
"2020100000","2020年度","19207","山梨県 韮崎市","","29,067","","11,552","","398","","614,543","","X","","18,424","","473,602","","9,809","","723","","X","","55,789","","12,175","","2,445","","2,148","","3,663","","7,711","","874","","11,461","","2,226","","6,705","","0.76","","8,198,118","","5",""
"2020100000","2020年度","19208","山梨県 南アルプス市","","69,459","","26,059","","695","","506,873","","1,224","","31,161","","253,335","","5,901","","894","","15,917","","123,564","","14,789","","5,964","","1,986","","4,208","","12,894","","1,870","","20,746","","4,861","","7,559","","0.51","","18,494,574","","5",""
"2020100000","2020年度","19209","山梨県 北杜市","","44,053","","18,893","","4,982","","373,022","","227","","20,984","","248,620","","384","","101","","10,021","","47,605","","3,152","","2,499","","2,068","","13,938","","4,610","","2,110","","8,652","","1,604","","6,449","","0.43","","18,412,854","","2",""
"2020100000","2020年度","19210","山梨県 甲斐市","","75,313","","31,039","","2,165","","332,521","","0","","31,248","","44,682","","77","","4,851","","7,717","","155,368","","11,310","","6,336","","6,237","","9,623","","21,197","","3,170","","21,630","","1,819","","7,256","","0.63","","14,978,451","","4",""
"2020100000","2020年度","19211","山梨県 笛吹市","","66,947","","26,916","","1,876","","379,828","","0","","30,114","","113,911","","332","","5,211","","13,714","","110,889","","9,365","","5,229","","4,895","","16,977","","21,792","","1,123","","35,411","","1,353","","9,511","","0.52","","17,394,580","","8",""
"2020100000","2020年度","19212","山梨県 上野原市","","22,669","","9,509","","956","","178,472","","X","","14,931","","89,338","","X","","358","","4,875","","31,680","","4,768","","2,682","","1,362","","8,526","","4,812","","4,424","","6,894","","1,859","","1,693","","0.50","","6,795,934","","2",""
"2020100000","2020年度","19213","山梨県 甲州市","","29,237","","11,152","","1,408","","128,074","","X","","15,565","","31,069","","210","","407","","X","","46,484","","6,086","","753","","668","","3,201","","4,394","","837","","11,114","","1,349","","1,978","","0.44","","9,994,063","","2",""
"2020100000","2020年度","19214","山梨県 中央市","","31,216","","13,552","","1,517","","383,759","","0","","9,950","","132,847","","-","","2,160","","16,297","","161,871","","2,792","","3,008","","1,955","","2,473","","4,155","","6,809","","28,593","","1,683","","9,166","","0.68","","7,390,474","","1",""
"2020100000","2020年度","19346","山梨県 市川三郷町","","14,700","","5,803","","27","","68,675","","0","","6,140","","37,536","","23","","X","","X","","11,579","","2,229","","682","","452","","611","","743","","294","","2,397","","1,026","","913","","0.33","","5,606,064","","1",""
"2020100000","2020年度","19364","山梨県 早川町","","1,098","","675","","X","","X","","2,661","","7,968","","X","","X","","X","","X","","1,532","","-","","X","","X","","474","","29","","X","","X","","136","","24","","0.21","","1,672,438","","0",""
"2020100000","2020年度","19365","山梨県 身延町","","10,663","","4,588","","255","","66,001","","890","","9,891","","30,163","","X","","X","","2,127","","10,273","","2,448","","X","","884","","1,564","","1,150","","31","","4,275","","336","","1,221","","0.28","","5,769,547","","3",""
"2020100000","2020年度","19366","山梨県 南部町","","7,156","","2,819","","271","","49,642","","2,018","","4,573","","31,811","","-","","X","","1,011","","5,967","","606","","X","","230","","379","","1,383","","116","","783","","193","","492","","0.28","","3,877,920","","0",""
"2020100000","2020年度","19368","山梨県 富士川町","","14,219","","5,638","","662","","72,995","","X","","8,425","","29,920","","-","","288","","X","","19,874","","3,614","","550","","876","","1,240","","694","","624","","3,414","","292","","1,202","","0.36","","4,763,172","","2",""
"2020100000","2020年度","19384","山梨県 昭和町","","20,909","","9,117","","458","","572,426","","0","","35,652","","288,325","","X","","1,515","","X","","147,639","","8,815","","9,558","","4,139","","9,190","","15,812","","1,869","","6,620","","115","","10,216","","1.19","","4,805,442","","1",""
"2020100000","2020年度","19422","山梨県 道志村","","1,607","","613","","318","","5,498","","0","","1,722","","2,661","","-","","-","","-","","550","","X","","X","","46","","207","","128","","3","","X","","X","","97","","0.18","","1,408,231","","0",""
"2020100000","2020年度","19423","山梨県 西桂町","","4,041","","1,484","","X","","X","","0","","X","","6,590","","X","","X","","366","","5,996","","352","","X","","X","","73","","33","","-","","315","","X","","242","","0.30","","1,607,972","","0",""
"2020100000","2020年度","19424","山梨県 忍野村","","9,237","","3,489","","52","","340,343","","0","","7,088","","321,079","","-","","X","","552","","6,323","","545","","251","","101","","1,360","","445","","110","","1,861","","X","","416","","1.31","","3,125,114","","0",""
"2020100000","2020年度","19425","山梨県 山中湖村","","5,179","","1,969","","X","","X","","0","","2,781","","X","","-","","143","","1,858","","5,312","","715","","1,712","","34","","7,715","","1,034","","1,498","","1,918","","X","","876","","1.38","","2,504,848","","0",""
"2020100000","2020年度","19429","山梨県 鳴沢村","","2,824","","1,056","","X","","X","","0","","846","","29,256","","X","","81","","X","","1,468","","X","","1,428","","10","","522","","2,137","","X","","244","","148","","161","","0.62","","1,453,180","","0",""
"2020100000","2020年度","19430","山梨県 富士河口湖町","","26,082","","10,653","","292","","178,636","","0","","11,153","","65,198","","X","","1,091","","X","","43,933","","6,144","","3,180","","861","","23,412","","3,382","","1,919","","9,740","","384","","3,319","","0.65","","7,131,057","","1",""
"2020100000","2020年度","19442","山梨県 小菅村","","684","","339","","X","","X","","0","","1,491","","745","","X","","-","","X","","378","","X","","0","","0","","127","","155","","-","","X","","X","","180","","0.11","","854,663","","0",""
"2020100000","2020年度","19443","山梨県 丹波山村","","530","","283","","X","","X","","0","","X","","39","","X","","-","","X","","170","","-","","0","","0","","70","","7","","-","","X","","X","","45","","0.07","","842,311","","0",""
"2020100000","2020年度","20201","長野県 長野市","","372,760","","156,975","","10,805","","5,729,427","","227","","452,702","","598,548","","459,510","","135,578","","142,967","","1,740,548","","503,235","","116,767","","77,060","","52,277","","80,442","","34,059","","1,158,488","","22,212","","154,806","","0.74","","79,650,636","","25",""
"2020100000","2020年度","20202","長野県 松本市","","241,145","","104,934","","7,058","","2,972,458","","0","","229,707","","601,040","","21,373","","46,331","","104,192","","1,189,639","","246,872","","87,478","","38,997","","46,162","","54,867","","31,879","","162,329","","24,327","","87,264","","0.74","","51,454,237","","16",""
"2020100000","2020年度","20203","長野県 上田市","","154,055","","64,296","","3,159","","1,402,843","","X","","103,489","","531,121","","5,258","","11,102","","21,858","","449,437","","68,932","","24,800","","16,150","","24,025","","27,959","","10,248","","71,010","","8,817","","X","","0.60","","36,684,485","","13",""
