year_code,year,cd_area,area_name,A1101_総人口【人】,A7101_世帯数【世帯】,C610101_売上金額（民営）（農林漁業）【百万円】,C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】,C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】,C610106_売上金額（民営）（建設業）【百万円】,C610107_売上金額（民営）（製造業）【百万円】,C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】,C610109_売上金額（民営）（情報通信業）【百万円】,C610110_売上金額（民営）（運輸業、郵便業）【百万円】,C610111_売上金額（民営）（卸売業、小売業）【百万円】,C610114_売上金額（民営）（金融業、保険業）【百万円】,C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】,C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】,C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】,C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】,C610119_売上金額（民営）（教育、学習支援業）【百万円】,C610120_売上金額（民営）（医療、福祉）【百万円】,C610121_売上金額（民営）（複合サービス事業）【百万円】,C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】,D2201_財政力指数（市町村財政）【‐】,D2209_一般財源（市町村財政）【千円】,I5101_病院数【施設】
2020100000,2020年度,01396,北海道 真狩村,2045,903,1086,9426,0,364,359,,,498,6649,,,,248,68,,756,,204,0.17,1704492,0
2020100000,2020年度,01397,北海道 留寿都村,1911,959,1302,10972,0,728,1254,,,,2060,,51,,5207,,50,267,193,63,0.26,1574009,0
2020100000,2020年度,01398,北海道 喜茂別町,2156,1130,662,7498,,1274,838,,,1519,2038,,,,330,45,,971,139,65,0.19,1883104,0
2020100000,2020年度,01399,北海道 京極町,2941,1269,1306,18271,0,3611,5914,,,3625,2296,,278,,180,114,,1364,268,408,0.79,2494040,1
2020100000,2020年度,01400,北海道 倶知安町,15129,7631,2584,134241,0,18241,,4673,,8377,53482,3966,10794,1457,6282,3422,1074,7197,4951,3546,0.61,5282612,1
2020100000,2020年度,01401,北海道 共和町,5772,2728,556,27973,,4358,5362,,,1330,12515,,930,195,189,418,,1114,450,826,0.26,3484740,0
2020100000,2020年度,01402,北海道 岩内町,11648,5750,33,56130,0,15302,6761,,,1139,14456,3339,1451,313,2050,2499,152,4924,216,1237,0.32,4123214,1
2020100000,2020年度,01403,北海道 泊村,1569,813,,,0,5389,,388604,,,1584,,,280,152,6,,610,567,1107,1.58,2333325,0
2020100000,2020年度,01404,北海道 神恵内村,870,401,,,0,68,,,,,317,,,0,2505,9,,175,,110,0.10,1045496,0
2020100000,2020年度,01405,北海道 積丹町,1831,883,,,0,377,170,,,18,2401,,0,0,868,34,,232,91,248,0.11,1863135,0
