"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"02208","青森県","","","むつ市","むつし","2005-03-14","有"
"02209","青森県","","","つがる市","つがるし","2005-02-11","有"
"02210","青森県","","","平川市","ひらかわし","2006-01-01","有"
"03201","岩手県","","","盛岡市","もりおかし","2008-04-01","有"
"03202","岩手県","","","宮古市","みやこし","2010-01-01","有"
"03203","岩手県","","","大船渡市","おおふなとし","2001-11-15","有"
"03205","岩手県","","","花巻市","はなまきし","2013-04-01","有"
"03206","岩手県","","","北上市","きたかみし","2013-04-01","有"
"03207","岩手県","","","久慈市","くじし","2006-03-06","有"
"03208","岩手県","","","遠野市","とおのし","2005-10-01","有"
"03209","岩手県","","","一関市","いちのせきし","2017-09-04","有"
"03210","岩手県","","","陸前高田市","りくぜんたかたし","",""
"03211","岩手県","","","釜石市","かまいしし","",""
"03213","岩手県","","","二戸市","にのへし","2006-01-01","有"
"03214","岩手県","","","八幡平市","はちまんたいし","2005-09-01","有"
